Threads,Time_Elapsed,User_Time,Sys_Time,IPC,CPU_Utilization,Frequency_GHz
1,0.002044095,0.000000000,0.002101000,0.89,0.709,0.614
2,0.002934875,0.001125000,0.002333000,0.38,0.863,0.844
3,0.002282459,0.000000000,0.002915000,0.46,0.950,0.834
4,0.003424852,0.003857000,0.000794000,0.24,1.132,0.932
5,0.003517879,0.003143000,0.001990000,0.22,1.118,1.048
6,0.002191787,0.000000000,0.003948000,0.23,1.468,1.279
7,0.003056063,0.003282000,0.002117000,0.18,1.312,1.343
8,0.012959754,0.050767000,0.003820000,0.05,4.128,2.141
