Threads,Time_Elapsed,User_Time,Sys_Time,IPC,CPU_Utilization,Frequency_GHz
1,0.168808815,0.159423000,0.002850000,1.64,0.977,2.491
2,0.071374764,0.139646000,0.000967000,1.66,1.967,2.899
3,0.046375545,0.135483000,0.000941000,1.65,2.938,3.002
4,0.041068938,0.159750000,0.000000000,1.65,3.889,2.562
5,0.035753153,0.172541000,0.000989000,1.32,4.854,2.960
6,0.029177982,0.161042000,0.007707000,1.31,5.780,3.054
7,0.025948615,0.171492000,0.001897000,1.31,6.678,2.984
8,0.024882112,0.185893000,0.000943000,1.21,7.509,2.986
