Threads,Time_Elapsed,User_Time,Sys_Time,IPC,CPU_Utilization,Frequency_GHz
1,3.939467116,3.852256000,0.022296000,0.84,0.997,2.137
2,1.833579860,3.535308000,0.035767000,0.83,1.971,2.334
3,1.185932074,3.459349000,0.013696000,0.80,2.966,2.511
4,0.701132447,2.716804000,0.019697000,0.90,3.927,2.823
5,0.982011320,3.458564000,0.020561000,0.73,3.564,2.768
6,0.907883950,4.304651000,0.021448000,0.59,4.802,2.740
7,1.035524097,5.716913000,0.013710000,0.45,5.579,2.690
8,1.409304830,9.868946000,0.046559000,0.27,7.100,2.580
